Subject,Cluster
Subject 1 - L,0
Subject 2 - L,3
Subject 3 - L,0
Subject 4 - L,2
Subject 5 - L,1
Subject 6 - L,3
Subject 7 - L,2
Subject 8 - L,3
Subject 9 - L,2
Subject 10 - L,0
Subject 11 - L,2
Subject 12 - L,2
Subject 13 - L,0
Subject 14 - L,3
Subject 15 - L,1
Subject 16 - L,3
Subject 17 - L,0
Subject 18 - L,1
Subject 19 - L,1
Subject 20 - L,3
Subject 21 - L,3
Subject 22 - L,3
Subject 23 - L,3
Subject 24 - L,0
Subject 25 - L,2
Subject 26 - L,3
Subject 27 - L,2
Subject 28 - L,2
Subject 29 - L,2
Subject 30 - L,0
Subject 31 - L,2
Subject 32 - L,2
Subject 33 - L,2
Subject 34 - L,3
Subject 1 - R,0
Subject 2 - R,1
Subject 3 - R,0
Subject 4 - R,2
Subject 5 - R,0
Subject 6 - R,1
Subject 7 - R,1
Subject 8 - R,3
Subject 9 - R,1
Subject 10 - R,3
Subject 12 - R,2
Subject 13 - R,3
Subject 14 - R,3
Subject 15 - R,1
Subject 16 - R,3
Subject 17 - R,0
Subject 18 - R,3
Subject 19 - R,2
Subject 20 - R,0
Subject 21 - R,3
Subject 22 - R,3
Subject 23 - R,0
Subject 24 - R,0
Subject 25 - R,0
Subject 26 - R,1
Subject 27 - R,0
Subject 28 - R,0
Subject 30 - R,1
Subject 31 - R,2
Subject 32 - R,3
Subject 33 - R,3
Subject 34 - R,3
